Wavelength,RI_Water,RI_Water_etching,RI_B,RI_B_etching,RI_C,RI_C_etching,RI_D,RI_D_etching,RI_E,RI_E_etching
1.552,-3.9494395994,-2.4284018473,-3.8739071725,-0.6200641389,-3.8265676402,-1.3228215856,-3.8491173258,-4.7747885966,-3.9838359069,-4.3217060094
1.556,-4.0947874227,-3.9846176190,-3.9828723830,-0.7349261671,-3.8730868034,-0.6119514481,-3.8304619958,-5.0638513280,-3.9022846833,-2.9124966623
1.560,-4.4251797419,-4.9241816174,-4.2480432998,-1.2472055811,-4.0619096685,-0.4429685574,-3.8767838102,-4.9329717720,-3.8560813786,-1.6660750684
1.564,-4.7739003270,-4.8384760362,-4.5132468440,-2.3438390237,-4.2571924810,-0.5654605448,-3.9904845893,-4.7552118640,-3.8508984799,-0.7790824002
1.568,-5.5731910864,-4.3980908631,-5.1380363363,-3.8807067241,-4.6903546769,-0.6686391597,-4.2679972681,-4.2992614247,-3.8835486917,-0.4293337829
1.572,-6.3060166001,-3.9799959236,-5.7411430543,-4.8873922970,-5.1271878335,-0.7390340680,-4.5250530336,-3.2711819762,-3.9718743528,-0.4675446964
1.576,-7.8676036553,-3.1877951794,-7.0186181700,-4.8247285491,-6.1074969866,-1.0895223178,-5.1221508307,-1.9326838434,-4.2387492895,-0.6431295496
1.580,-9.3534722390,-1.9846844058,-8.1823903710,-4.3492344358,-6.9857309305,-1.9412914931,-5.7065844431,-0.8840481357,-4.4904008292,-0.7838257602
1.584,-12.8890730864,-0.8756466306,-10.8643600901,-3.9092408404,-8.8783471841,-3.2927344812,-6.9502361112,-0.3838249797,-5.0188677990,-0.8926666025
1.588,-16.4596361995,-0.2833073213,-13.5665429071,-3.2577739653,-10.7176421294,-4.6244404235,-8.0607004059,-0.3566733547,-5.5312754378,-1.1551884839
1.592,-24.2239638214,-0.2544199156,-20.0714637164,-2.1772775001,-15.2121783047,-4.9462489123,-10.5871851710,-0.5669949506,-6.6842390001,-1.7469128140
1.596,-26.3986162419,-0.5592165881,-24.9088166083,-1.0396537653,-19.5530378867,-4.4458258717,-13.0552198258,-0.7752841893,-7.7013080899,-2.8943826274
1.600,-25.7153838174,-0.8681599404,-25.5869831189,-0.3404210572,-25.5115325032,-3.9226411386,-18.7682485018,-0.9323017917,-9.8069027790,-4.2273818214
