Wavelength,RI_Water,RI_Water_etching,RI_B,RI_B_etching,RI_C,RI_C_etching,RI_D,RI_D_etching,RI_E,RI_E_etching,RI_F,RI_F_etching
1.325525526,-10.99295139,-4.82043105,-10.91341057,-1.965173292,-10.82054143,-0.424211461,-10.45591839,-4.235774363,-9.897624619,-8.38166342,-8.818438993,-2.121253209
1.326126126,-11.03765433,-5.214435463,-10.94073145,-2.041873061,-10.85572017,-0.499154481,-10.5574621,-4.001746346,-10.05956953,-8.077502216,-9.01529946,-2.258023926
1.326726727,-11.09257756,-5.633226878,-10.97112863,-2.130979272,-10.88326909,-0.584475703,-10.64396563,-3.760805711,-10.20984752,-7.786102038,-9.212864577,-2.415741533
1.327327327,-11.16138394,-6.073479602,-11.00732721,-2.229617278,-10.9083318,-0.678494828,-10.71749441,-3.511022474,-10.34405899,-7.510323489,-9.407902812,-2.596152269
1.327927928,-11.24604613,-6.538241387,-11.05347191,-2.342463637,-10.93296654,-0.776649792,-10.77622344,-3.253441749,-10.46447382,-7.249702415,-9.599728575,-2.801415957
1.328528529,-11.34832201,-7.023452069,-11.11026659,-2.474732346,-10.95966457,-0.875207795,-10.82421503,-2.98928296,-10.56965598,-7.00457302,-9.784135153,-3.033547894
1.329129129,-11.471002,-7.512688701,-11.18270306,-2.629924523,-10.98955457,-0.974736372,-10.86303867,-2.725121654,-10.65805227,-6.779370487,-9.95832956,-3.291531099
1.32972973,-11.618399,-7.989181233,-11.2706586,-2.807585456,-11.02807986,-1.077038382,-10.89471754,-2.463966004,-10.73368859,-6.573359071,-10.12030158,-3.576517241
1.33033033,-11.79013013,-8.431977385,-11.37549252,-3.012798713,-11.07632373,-1.179797303,-10.92114502,-2.209736703,-10.79533834,-6.388220465,-10.27090336,-3.882796611
1.330930931,-11.98956753,-8.80593931,-11.50426444,-3.242317253,-11.13660707,-1.280604117,-10.94500427,-1.966219013,-10.84415813,-6.22172024,-10.40599563,-4.211161862
1.331531532,-12.22047228,-9.104023973,-11.65578967,-3.489931165,-11.21082128,-1.379903777,-10.97061065,-1.733383877,-10.88392116,-6.068774876,-10.52558327,-4.55943659
1.332132132,-12.4862346,-9.306713003,-11.83281585,-3.760987134,-11.30100437,-1.473548128,-10.99755233,-1.511689395,-10.91743839,-5.922402363,-10.62894873,-4.929389305
